6859,Java. Statements and Arrays,https://stepik.org/course/6859,"{'https://stepik.org/users/625832': 'Ekaterina Tuzova', 'https://stepik.org/users/17813950': 'JetBrains'}",3.6K
53634,Спортивное программирование,https://stepik.org/course/53634,{'https://stepik.org/users/3199288': 'Самарский университет'},5K
2159,Applied Computer Science. Git,https://stepik.org/course/2159,{'https://stepik.org/users/17406227': 'Mark Zaslavskiy'},4.8K
1547,Алгоритмы: теория и практика. Структуры данных,https://stepik.org/course/1547,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},20.9K
58474,Legasoft Python,https://stepik.org/course/58474,{'https://stepik.org/users/64002121': 'Владислав Ковалев'},105
52483,Информационные технологии. Работа с электронными таблицами Excel,https://stepik.org/course/52483,"{'https://stepik.org/users/72387351': 'Марина Романовна Меламуд', 'https://stepik.org/users/79997724': 'Вера Григорьевна Герасимова', 'https://stepik.org/users/79989370': 'Павел Евгеньевич Коваль', 'https://stepik.org/users/25781276': 'Наталия Женова'}",5.2K
31182,Введение в Python (7-8 классы),https://stepik.org/course/31182,{'https://stepik.org/users/37659602': 'Алексей Зотов'},5.2K
4519,Python для решения практических задач,https://stepik.org/course/4519,"{'https://stepik.org/users/1767092': 'Михаил Густокашин', 'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'}",7.8K
762,Основы Linux,https://stepik.org/course/762,{'https://stepik.org/users/17809379': 'Александр Петренко'},20K
238,Introduction to Python,https://stepik.org/course/238,{'https://stepik.org/users/17813950': 'JetBrains'},51.7K
4852,Введение в Data Science и машинное обучение,https://stepik.org/course/4852,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},28.8K
54098,Нейронные сети и обработка текста,https://stepik.org/course/54098,{'https://stepik.org/users/84186607': 'Samsung Research Russia Open Education'},9.9K
401,Нейронные сети,https://stepik.org/course/401,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},55.8K
73,Введение в Linux,https://stepik.org/course/73,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},99.1K
104,Введение в теоретическую информатику,https://stepik.org/course/104,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},14.4K
79,Linear Algebra: Problems and Methods,https://stepik.org/course/79,{'https://stepik.org/users/150606': 'Nikolay Gusev'},30.5K
902,Введение в дискретную математику,https://stepik.org/course/902,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},8.6K
48679,Математическая логика и теория алгоритмов,https://stepik.org/course/48679,{'https://stepik.org/users/64674367': 'ТУСУР'},10.6K
1613,Теоретическая информатика: сложность вычислений,https://stepik.org/course/1613,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},5.9K
1612,Управление вычислениями,https://stepik.org/course/1612,"{'https://stepik.org/users/9526': 'Anton Bragin', 'https://stepik.org/users/216101': 'Sergei Mozgov', 'https://stepik.org/users/651763': 'Bioinformatics Institute'}",9.9K
701,Introduction to Statistics,https://stepik.org/course/701,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},30K
50352,Нейронные сети и компьютерное зрение,https://stepik.org/course/50352,{'https://stepik.org/users/84186607': 'Samsung Research Russia Open Education'},26.3K
54364,Инструменты БД Scopus,https://stepik.org/course/54364,{'https://stepik.org/users/91427012': 'Лекторий Elsevier'},1.7K
57167,Минимум по линейной алгебре,https://stepik.org/course/57167,{'https://stepik.org/users/128771276': 'Владимир Сергеевич Заболотский'},790
2403,Adaptive Java,https://stepik.org/course/2403,{'https://stepik.org/users/17813950': 'JetBrains'},13K
1891,Java. Collections Framework.,https://stepik.org/course/1891,{'https://stepik.org/users/19672109': 'Дмитрий Леванов'},1.9K
3432,JavaScript for Beginners,https://stepik.org/course/3432,{'https://stepik.org/users/2029748': 'Anton Kholin'},59.6K
3050,Introduction to JavaScript and React,https://stepik.org/course/3050,{'https://stepik.org/users/32110397': 'Ken McGrady'},10.1K
18644,The Document Object Model,https://stepik.org/course/18644,{'https://stepik.org/users/34051521': 'Chris Bay'},571
53669,CodeWars,https://stepik.org/course/53669,{'https://stepik.org/users/91002653': 'Dylan Wilson'},204
1304,Learning Python,https://stepik.org/course/1304,{'https://stepik.org/users/19509311': 'Василий Данилин'},920
154,Web-технологии,https://stepik.org/course/154,{'https://stepik.org/users/1382921': 'Mail.ru Group'},51.6K
67,Программирование на Python,https://stepik.org/course/67,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},299K
579,Data Structures,https://stepik.org/course/579,"{'https://stepik.org/users/214650': 'Niema Moshiri', 'https://stepik.org/users/14359517': 'Liz Izhikevich'}",54.5K
16244,Программное обеспечение компьютерных сетей,https://stepik.org/course/16244,{'https://stepik.org/users/49258888': 'Юлия Леонидовна'},4.5K
38218,Веб-разработка для начинающих: HTML и CSS,https://stepik.org/course/38218,{'https://stepik.org/users/24073100': 'ITC (vk.com/itc.digital)'},57.8K
568,Adaptive Python,https://stepik.org/course/568,{'https://stepik.org/users/17813950': 'JetBrains'},26.7K
512,Python: основы и применение,https://stepik.org/course/512,{'https://stepik.org/users/651763': 'Bioinformatics Institute'},77.8K
5448,Введение в Kotlin JVM,https://stepik.org/course/5448,{'https://stepik.org/users/35787766': 'Максим Бесогонов'},6.7K
2607,Stepik Contest. Data Science,https://stepik.org/course/2607,{'https://stepik.org/users/1992480': 'Natalia Feofanova'},3.6K
10524,Как писать научные статьи,https://stepik.org/course/10524,{'https://stepik.org/users/17406227': 'Mark Zaslavskiy'},8.9K
2852,Kotlin,https://stepik.org/course/2852,{'https://stepik.org/users/17813950': 'JetBrains'},26K
14736,Как работает Интернет,https://stepik.org/course/14736,{'https://stepik.org/users/31135261': 'Elizaveta Zaslavskaya'},4.3K
187,Java. Базовый курс,https://stepik.org/course/187,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},102K
575,Автоматизация тестирования с помощью Selenium и Python,https://stepik.org/course/575,"{'https://stepik.org/users/88489': 'Aleksey 👨\u200d💻 Pogibelev', 'https://stepik.org/users/19131991': 'Юлия Лях', 'https://stepik.org/users/45914490': 'Команда Stepik'}",15.5K
11263,Основы логики. Курс для школьников 7-11,https://stepik.org/course/11263,{'https://stepik.org/users/29417050': 'Михаил Сергеевич Солкин'},3.6K
253,Введение в архитектуру ЭВМ. Элементы операционных систем.,https://stepik.org/course/253,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},32.3K
91,Ликбез по дискретной математике,https://stepik.org/course/91,{'https://stepik.org/users/736914': 'Computer Science Center (CS центр)'},25.8K
3356,Практикум по математике и Python,https://stepik.org/course/3356,{'https://stepik.org/users/17443953': 'Алексей Задойный'},10.9K
3145,Основы Git,https://stepik.org/course/3145,{'https://stepik.org/users/17406227': 'Mark Zaslavskiy'},16K
3678,SSH Трюки,https://stepik.org/course/3678,"{'https://stepik.org/users/734022': 'Никита Компанищенко', 'https://stepik.org/users/17406227': 'Mark Zaslavskiy'}",5.5K
4792,Разработка Android-приложений на Kotlin,https://stepik.org/course/4792,{'https://stepik.org/users/17406227': 'Mark Zaslavskiy'},11.6K
5703,Разработка мобильных приложений для Android,https://stepik.org/course/5703,"{'https://stepik.org/users/41703762': 'ОмГТУ', 'https://stepik.org/users/49345364': 'Тамтэк'}",11.8K
2057,Python. Functional Programming,https://stepik.org/course/2057,{'https://stepik.org/users/826185': 'Vitaliy Polshkov'},11.2K
1571,Метод Монте-Карло (не закончен),https://stepik.org/course/1571,{'https://stepik.org/users/16037905': 'Николай Тузов'},200
1878,Анализ данных в Google Analytics,https://stepik.org/course/1878,{'https://stepik.org/users/23999190': 'Андрей Осипов'},17.6K
52200,Разработка мобильных приложений на Qt,https://stepik.org/course/52200,"{'https://stepik.org/users/79671378': 'OMP Education', 'https://stepik.org/users/31166787': 'Кирилл Чувилин'}",845
735,Подготовка к ЕГЭ по математике (интенсивный курс),https://stepik.org/course/735,{'https://stepik.org/users/17304128': 'Pelican Education'},14.3K
